equipamento,sensor_id,ts,temperatura,vibracao,umidade,tipo,unidade
Linha A,1,2025-08-31T06:44:48.165561,26.533456232866772,0.03114102986271532,55.34976793229121,temperatura,°C
Linha A,1,2025-08-31T06:45:48.165561,25.24182479234717,0.04840563325856676,53.835783548029646,temperatura,°C
Linha A,1,2025-08-31T06:46:48.165561,25.29975562329844,0.04103427047221501,57.64626036863294,temperatura,°C
Linha A,1,2025-08-31T06:47:48.165561,24.843053644209363,0.037654096382845344,53.70645600249037,temperatura,°C
Linha A,1,2025-08-31T06:48:48.165561,26.05692193379659,0.024733861841458957,54.34474814481146,temperatura,°C
Linha A,1,2025-08-31T06:49:48.165561,25.6703096813168,0.028432500183902233,56.74721636821669,temperatura,°C
Linha A,1,2025-08-31T06:50:48.165561,25.146575188843386,0.037654868841846004,51.454338709855556,temperatura,°C
Linha A,1,2025-08-31T06:51:48.165561,24.88315593583462,0.02292849140679485,54.00870762728283,temperatura,°C
Linha A,1,2025-08-31T06:52:48.165561,25.93188435868916,0.03587026627195194,55.15653674106524,temperatura,°C
Linha A,1,2025-08-31T06:53:48.165561,25.73311561206934,0.028444944924710034,58.11548658716286,temperatura,°C
Linha A,1,2025-08-31T06:54:48.165561,25.854488109298487,0.02641149777547177,56.6396744599587,temperatura,°C
Linha A,1,2025-08-31T06:55:48.165561,26.26676569784202,0.023417543135476934,55.53280948131426,temperatura,°C
Linha A,1,2025-08-31T06:56:48.165561,25.540666285879546,0.0063893041045421095,58.91242855914896,temperatura,°C
Linha A,1,2025-08-31T06:57:48.165561,25.065313644040536,0.020462728424773854,55.35408495098095,temperatura,°C
Linha A,1,2025-08-31T06:58:48.165561,25.316685132344254,0.04289627304451042,51.91433228942912,temperatura,°C
Linha A,1,2025-08-31T06:59:48.165561,25.04877227962968,0.033508158358769066,58.43570677232461,temperatura,°C
Linha A,1,2025-08-31T07:00:48.165561,25.111869896274527,0.0278380806861703,56.652524335294814,temperatura,°C
Linha A,1,2025-08-31T07:01:48.165561,25.85047074564887,0.021770487403092915,56.48120743768416,temperatura,°C
Linha A,1,2025-08-31T07:02:48.165561,25.442783176633792,0.031375875041783116,55.377214515946235,temperatura,°C
Linha A,1,2025-08-31T07:03:48.165561,26.963234254429697,0.03194353210685934,60.549950995160216,temperatura,°C
Linha A,1,2025-08-31T07:04:48.165561,25.252059444567138,0.02648760040204224,54.321873440610304,temperatura,°C
Linha A,1,2025-08-31T07:05:48.165561,25.545831540062387,0.021239580669912113,53.283886776940605,temperatura,°C
Linha A,1,2025-08-31T07:06:48.165561,25.709809494894145,0.02033367214550525,57.890326255077824,temperatura,°C
Linha A,1,2025-08-31T07:07:48.165561,25.94919118163775,0.018684406174046056,51.80318123668209,temperatura,°C
Linha A,1,2025-08-31T07:08:48.165561,26.25773942341759,0.02843456704107527,60.56797438890476,temperatura,°C
Linha A,1,2025-08-31T07:09:48.165561,25.305148589671035,0.02902206984041168,55.999979526484346,temperatura,°C
Linha A,1,2025-08-31T07:10:48.165561,25.269469525511514,0.016515407213638027,58.26142787188055,temperatura,°C
Linha A,1,2025-08-31T07:11:48.165561,26.445809774306863,0.033176340080892174,59.01803472859238,temperatura,°C
Linha A,1,2025-08-31T07:12:48.165561,25.83560103078884,0.03349007386884566,55.506653004119094,temperatura,°C
Linha A,1,2025-08-31T07:13:48.165561,25.331124107384653,0.028353268819206086,57.2174068570289,temperatura,°C
Linha A,1,2025-08-31T07:14:48.165561,26.48358780435679,0.02289373062404282,57.713794693365834,temperatura,°C
Linha A,1,2025-08-31T07:15:48.165561,24.994299588036966,0.027531849502666288,57.540433194679515,temperatura,°C
Linha A,1,2025-08-31T07:16:48.165561,24.919391304943524,0.02764526603077416,57.59754158051478,temperatura,°C
Linha A,1,2025-08-31T07:17:48.165561,25.13779953997493,0.010108470598067718,54.06126828552943,temperatura,°C
Linha A,1,2025-08-31T07:18:48.165561,25.74298277112393,0.028641356072436053,56.36275906347098,temperatura,°C
Linha A,1,2025-08-31T07:19:48.165561,25.71447475708175,0.04180530498462153,55.59568572333203,temperatura,°C
Linha A,1,2025-08-31T07:20:48.165561,26.45041891980217,0.020590052955735214,58.25665587360002,temperatura,°C
Linha A,1,2025-08-31T07:21:48.165561,25.23491360555674,0.04127061426998321,57.278186873407435,temperatura,°C
Linha A,1,2025-08-31T07:22:48.165561,25.278756269127058,0.031149402974948663,55.8034152216318,temperatura,°C
Linha A,1,2025-08-31T07:23:48.165561,25.116191301701505,0.028777681450227133,52.19334660416268,temperatura,°C
Linha A,1,2025-08-31T07:24:48.165561,24.417579381557406,0.014778402233333102,56.73620053068306,temperatura,°C
Linha A,1,2025-08-31T07:25:48.165561,25.9623083834881,0.012421578537830259,59.604714117723944,temperatura,°C
Linha A,1,2025-08-31T07:26:48.165561,24.65041855065047,0.03469696826299065,55.777749138083436,temperatura,°C
Linha A,1,2025-08-31T07:27:48.165561,26.050700798443064,0.03674098520078315,61.42091285472143,temperatura,°C
Linha A,1,2025-08-31T07:28:48.165561,24.328197537011558,0.03859190012588444,57.82417943405775,temperatura,°C
Linha A,1,2025-08-31T07:29:48.165561,25.066903372335787,0.03670251401700731,55.108309278793406,temperatura,°C
Linha A,1,2025-08-31T07:30:48.165561,25.077081880759163,0.042821420322966215,56.111765008013926,temperatura,°C
Linha A,1,2025-08-31T07:31:48.165561,26.342401726031824,0.016717040793547085,55.52518173595851,temperatura,°C
Linha A,1,2025-08-31T07:32:48.165561,25.277969059884715,0.025933447898499072,53.71426286387858,temperatura,°C
Linha A,1,2025-08-31T07:33:48.165561,26.077093625350233,0.021061363173745497,56.70889790826864,temperatura,°C
Linha A,1,2025-08-31T07:34:48.165561,25.826133222629057,0.03628643962928926,55.473560017314604,temperatura,°C
Linha A,1,2025-08-31T07:35:48.165561,25.282094959905873,0.016964603165942647,54.89953474030104,temperatura,°C
Linha A,1,2025-08-31T07:36:48.165561,25.10992060569279,0.026105614743808066,57.88633402239366,temperatura,°C
Linha A,1,2025-08-31T07:37:48.165561,24.0917048310362,0.021892958786576565,52.237559256548636,temperatura,°C
